"Portugues,Ingles,Italiano,Espanhol,Alemao,Frances,Mandarim"
"Eu acordo a noite,I wake up at night,Mi sveglio di notte,Me despierto por la noche,Ich wache nachts auf,Je me reveille la nuit, ?????"
"This is classic.,Essa é clássica.,,,,,"
"And I have nothing to say,E não tenho nada a dizer"
"Stop! - I know, the music is good.,""Pare! - Eu sei, a música é boa."""
"Even old, it's sensational.,""Mesmo antiga, é sensacional."""
"Don't arrive late. - Okay.,Não chegue tarde. - Tá."
"Good luck with the selection.,Boa sorte na seleção."
"Don't be intimidated by the fact that I've always been on the first team. I will get it right.,Não se intimide por eu sempre ter sido do time principal. Vai dar certo."
"Sucker. - Hey!,Otário. - Ei!"
"Look at the mouth. - Main team sucker.,Olhe a boca. - Otário de time principal."
"Can you turn this crap off?,Dá para desligar essa porcaria?"
"My last warning.,Meu último aviso."
"That's not even a bad word.,Isso nem é palavrão."
"Crap"" is not a bad word.,""""""Porcaria"""" não é palavrão."""
"What's up, man? - Aren't you going to play, Adam?,""E aí, cara? - Não vai jogar, Adam?"""
"To play? - Parents against children.,Jogar? - Pais contra filhos."
"Parents against children? - Shit... Damn.,Pais contra filhos? - Merda... Droga."
"It went badly. I forgot it's parents against children.,Foi mal. Esqueci que são pais contra filhos."
"Okay.,Tá."
"Looks like we found our goalkeeper.,Parece que achamos nosso goleiro."
"A toast to those humiliated by children.,Um brinde aos humilhados pelas crianças."
"Speak for yourself. I played well.,Fale por você. Eu joguei bem."
"Oh no, here he comes with the flip chart.,""Ah, não, lá vem ele com o flip-chart."""
"Just wait for him to go through the list.,Espere só ele passar a lista."
"Last year it was laminated.,No ano passado era laminada."
"It's Corinne.,É a Corinne."
"Tell them I've traveled as a teacher. I know everything!,Diga que já viajei como professor. Sei de tudo!"
"Hey love. And the conference?,""Oi, amor. E a conferência?"""
"Wow, it's very tough.,""Nossa, é muito puxada."""
"I'm recovering,Estou me recuperando"
"after a hot shower and two glasses of wine.,depois de um banho quente e duas taças de vinho."
"I'm with the guys in the bars.,Estou com os caras pelos bares."
"Ryan enters with the Sambucas.,Ryan entra com as Sambucas."
"Where are they? In football? - Yes.,Onde estão? No futebol? - Sim."
"Did you know it was parents against children?,Você sabia que era pais contra filhos?"
"I warned you in the note.,Avisei no bilhete."
"What ticket? - The note on the fridge.,Que bilhete? - O bilhete na geladeira."
"What refrigerator?,Que geladeira?"
"Let me know when you know who his team will be?,Me avisa quando souber qual será o time dele?"
"Hopefully the main thing.,Tomara que o principal."
"Tom keeps picking on him, and Ryan swears...,""Tom fica pegando no pé dele, e o Ryan falando palavrões..."""
"Wow, I know. It's a nightmare.,""Nossa, eu sei. É um pesadelo."""
"That dirty little mouth. He takes after his mother.,Esse boquinha suja. Puxou à mãe dele."
"Oh no.,""Ah, não."""
"Bob's list.,A lista do Bob."
"You won't believe it.,Não vai acreditar."
"Bob's list...,A lista do Bob..."
"It has 26 items.,tem 26 itens."
"Wow, I'm devastated that I can't be there.,""Poxa, estou arrasada por não poder estar aí."""
"I know you are.,Sei que está."
"He did it on purpose.,Fez isso de propósito."
"I don't think there's even a conference. I'll ask the teachers.,Acho que nem tem conferência. Vou perguntar aos professores."
"In fact, I need to turn it off.,""Na verdade, preciso desligar."""
"I have dinner in half an hour.,Tenho um jantar em meia hora."
"Okay, love. Have fun.,""Tá, amor. Divirta-se."""
"Yes definitely. I aim.,""Sim, com certeza. Pretendo."""
"I love you.,Te amo."
"I love you. Goodbye. - Goodbye.,Te amo. Tchau. - Tchau."
"Did the woman leave you hanging?,A mulher te deixou na mão?"
"Yes, she traveled.,""Sim, ela viajou."""
"For work.,A trabalho."
"And you, will your son play?,""E você, seu filho vai jogar?"""
"No.,Não."
"I didn't need to be with her.,Não precisava ficar com ela."
"What?,Quê?"
"When Corinne said she was pregnant.,Quando Corinne disse que estava grávida."
"One moment. Do I know you?,Um momento. Eu te conheço?"
"2 years ago, didn't she say she got pregnant? That's why you stayed.,""Há 2 anos, ela não disse que engravidou? Por isso você ficou."""
"She said she was pregnant and lost the baby.,Ela disse que estava grávida e perdeu o bebê."
"Who are you? - She lied, Adam.,""Quem é você? - Ela mentiu, Adam."""
"She invented pregnancy.,Ela inventou a gravidez."
"Who are you? Why do you say that?,Quem é você? Por que diz isso?"
"And does it matter?,E isso importa?"
"Yes, it matters.,""Sim, importa."""
"Okay.,Tá."
"See me as a stranger. One who knows.,Veja-me como uma estranha. Uma que sabe."
"She had a belly. - It was fake.,Ela tinha barriga. - Era falsa."
"Remember the era. Have you ever seen her naked?,Lembre-se da época. Você a viu nua alguma vez?"
"Totally naked?,Totalmente nua?"
"It was a lie.,Era de mentira."
"The excuses for avoiding sex, the illnesses.,""As desculpas para evitar sexo, as doenças."""
"When you had the miscarriage, you realized that pregnancy had always been difficult.,""Quando teve o aborto, você percebeu que a gravidez sempre foi difícil."""
"I lost.,Eu perdi."
"How do you know her? Who the hell are you?,Como a conhece? Quem diabos é você?"
"Guys, get your beers. Let's get started.,""Pessoal, peguem suas cervejas. Vamos começar."""
"I'm just a friend who got you out of prison.,Sou só uma amiga que te libertou da prisão."
"How much nonsense.,Quanta bobagem."
"You should thank me. - And why?,Devia me agradecer. - E por quê?"
"Because now you know she's a liar.,Porque agora sabe que ela é mentirosa."
"She faked everything.,Ela fingiu tudo."
"Adam? - Yes?,Adam? - Sim?"
"If you need proof, look at your card,""Se precisar de provas, veja seu cartão"""
"and look for a charge from Novelty Funsy.,e procure uma cobrança da Novelty Funsy."
"And one more thing:,E mais uma coisa:"
"If I were you,,""Se eu fosse você,"""
"would do DNA testing for his two children.,faria teste de DNA pros seus dois filhos."
"Hey. Wait.,Ei. Espere."
"Stop!,Pare!"
"Who are you?,Quem é você?"
"Corinne.,Corinne."
"I lost.,Eu perdi."
"I lost the baby.,Perdi o bebê."
"Sorry I'm not here.,Desculpe não estar aqui."
"I love you so much.,Eu te amo tanto."
"It's Corinne. Leave your message.,É a Corinne. Deixe seu recado."
"Hi, it's me.,""Oi, sou eu."""
"Leave it there.,Deixa pra lá."
"Joined the main team. - Good result.,Entrou pro time principal. - Bom resultado."
"For sure.,Com certeza."
"Yes, minus Jimmy Hoch joining the first team.,""Sim, menos Jimmy Hoch entrando pro time principal."""
"How can this be?,Como pode isso?"
"Well... - What happened?,Bom... - Que foi?"
"You know me, I'm not one for gossip.,""Você me conhece, não sou de fofocas."""
"Bob lost his job.,Bob perdeu o emprego."
"When?,Quando?"
"It's been six weeks. He doesn't want anyone to know.,Faz seis semanas. Ele não quer que ninguém saiba."
"There is a recruiter helping you find a job.,Tem um recrutador ajudando-o a achar emprego."
"A very successful recruiter.,Um recrutador muito bem-sucedido."
"Stephen Hoch.,Stephen Hoch."
"Jimmy's father? You're kidding. How absurd.,O pai do Jimmy? Está brincando. Que absurdo."
"For, you are a lawyer.,""Para, você é advogado."""
"This always happens.,Isso sempre acontece."
"When it comes to ourselves and our children,,""Quando o assunto somos nós mesmos e nossos filhos,"""
"we are all corrupt.,somos todos corruptos."
"We'll see you tomorrow.,A gente se vê amanhã."
"Ryan.,Ryan."
"PARENTS VS CHILDREN GAME THIS SATURDAY,JOGO PAIS CONTRA FILHOS NESTE SÁBADO"
"SCAM. FALSE PREGNANCY,GOLPE. GRAVIDEZ FALSA"
"CHILD HEALTH RECORD,REGISTRO DE SAÚDE DA CRIANÇA"
"CEDARFIELD HOSPITAL,HOSPITAL DE CEDARFIELD"
"IMAGE RESULTS,RESULTADO DE IMAGENS"
"ITEMS FOR COSTUMES AND FUN,ARTIGOS PARA FANTASIAS E DIVERSÃO"
"ONLINE BANKING,BANCO ON-LINE"
"MY ACCOUNT,MINHA CONTA"
"JOINT ACCOUNT,CONTA CONJUNTA"
"SEARCH TRANSACTION,BUSCAR TRANSAÇÃO"
"JANUARY 15, 2017 VALUE: 387.99,""15 DE JANEIRO DE 2017 VALOR: 387,99"""
"What the fuck...,Que porra..."
"She invented pregnancy.,Ela inventou a gravidez."
"Now you know she's a liar.,Agora sabe que ela é mentirosa."
"So that we can better help,,""Para podermos ajudar melhor,"""
"Briefly state the reason for your call.,diga em poucas palavras o motivo de sua ligação."
"Credit card transactions.,Transações de cartão de crédito."
"Sorry. Could you repeat?,Desculpe. Poderia repetir?"
"Card transactions.,Transações com cartão."
"- Could you repeat it? - Talk to a fucking human!,""- Poderia repetir? - Falar com um humano, porra!"""
"Please wait a moment while we transfer to an attendant.,Aguarde um momento enquanto transferimos para um atendente."
