Português,Inglês,Italiano,Espanhol,Alemão,Francês,Mandarim
Estamos prontos para negociar os termos do contrato.,We are ready to negotiate the terms of the contract.,Siamo pronti a negoziare i termini del contratto.,Estamos listos para negociar los términos del contrato.,"Wir sind bereit, die Vertragsbedingungen zu verhandeln.",Nous sommes prêts à négocier les termes du contrat.,我们准备好谈判合同条款了。
Quais são suas expectativas para esta negociação?,What are your expectations for this negotiation?,Quali sono le tue aspettative per questa negoziazione?,¿Cuáles son tus expectativas para esta negociación?,Was sind Ihre Erwartungen für diese Verhandlung?,Quelles sont vos attentes pour cette négociation?,您对这次谈判的期望是什么？
Podemos encontrar um meio-termo?,Can we find a middle ground?,Possiamo trovare un compromesso?,¿Podemos encontrar un punto medio?,Können wir einen Mittelweg finden?,Pouvons-nous trouver un compromis?,我们可以找到一个折衷方案吗？
É importante chegar a um acordo mútuo.,It’s important to reach a mutual agreement.,È importante raggiungere un accordo reciproco.,Es importante llegar a un acuerdo mutuo.,"Es ist wichtig, eine gegenseitige Vereinbarung zu treffen.",Il est important de parvenir à un accord mutuel.,达成相互协议很重要。
Vamos discutir as condições de pagamento?,Let’s discuss the payment terms?,Discutiamo le condizioni di pagamento?,Discutamos las condiciones de pago.,Lass uns über die Zahlungsbedingungen sprechen.,Discutons des conditions de paiement.,我们讨论一下付款条件吧。
Estou aberto a sugestões e propostas.,I am open to suggestions and proposals.,Sono aperto a suggerimenti e proposte.,Estoy abierto a sugerencias y propuestas.,Ich bin offen für Vorschläge und Angebote.,Je suis ouvert à des suggestions et des propositions.,我愿意接受建议和提议。
Precisamos esclarecer alguns pontos antes de prosseguir.,We need to clarify some points before proceeding.,Dobbiamo chiarire alcuni punti prima di procedere.,Necesitamos aclarar algunos puntos antes de proceder.,"Wir müssen einige Punkte klären, bevor wir fortfahren.",Nous devons clarifier certains points avant de continuer.,在继续之前，我们需要澄清一些问题。
Qual é o prazo final para esta negociação?,What is the deadline for this negotiation?,Qual è la scadenza per questa negoziazione?,¿Cuál es la fecha límite para esta negociación?,Was ist die Frist für diese Verhandlung?,Quelle est la date limite pour cette négociation?,这次谈判的最后期限是什么？
Estou confiante de que podemos chegar a um acordo benéfico para ambos os lados.,I am confident that we can reach a mutually beneficial agreement.,Sono fiducioso che possiamo raggiungere un accordo vantaggioso per entrambe le parti.,Confío en que podemos llegar a un acuerdo beneficioso para ambas partes.,"Ich bin zuversichtlich, dass wir eine für beide Seiten vorteilhafte Vereinbarung treffen können.",Je suis confiant que nous pouvons parvenir à un accord mutuellement bénéfique.,我相信我们可以达成对双方都有利的协议。
Vamos formalizar o acordo por escrito?,Shall we formalize the agreement in writing?,Formalizziamo l'accordo per iscritto?,¿Formalizamos el acuerdo por escrito?,Sollen wir die Vereinbarung schriftlich festhalten?,Formaliserons-nous l'accord par écrit?,我们是否应该将协议书面化？
